goldcode-sv,pdp_url,image_no,image_url,link_status
02090447-1,https://kachivietnam.com/products/noi-chien-khong-dau-6l-mishio-mk408-mau-xam-sang-trong-bao-hanh-24-thang,1,https://cdn.hstatic.net/products/1000389255/1_fb135b3dc1f14b2bbefbdc7dab754e7e_1024x1024.jpg,Active
02090447-1,https://kachivietnam.com/products/noi-chien-khong-dau-6l-mishio-mk408-mau-xam-sang-trong-bao-hanh-24-thang,2,https://cdn.hstatic.net/products/1000389255/3_c0553e424cd740c69e101a93436e5c34_1024x1024.jpg,Active
02090447-1,https://kachivietnam.com/products/noi-chien-khong-dau-6l-mishio-mk408-mau-xam-sang-trong-bao-hanh-24-thang,3,https://cdn.hstatic.net/products/1000389255/2_73117b1fa08a496cb01fe431e6b6b9c3_1024x1024.jpg,Active
02090447-1,https://kachivietnam.com/products/noi-chien-khong-dau-6l-mishio-mk408-mau-xam-sang-trong-bao-hanh-24-thang,4,https://cdn.hstatic.net/products/1000389255/5_c14c418d30a94d67b8e79b5d98d2f9cb_1024x1024.jpg,Active
02090447-1,https://kachivietnam.com/products/noi-chien-khong-dau-6l-mishio-mk408-mau-xam-sang-trong-bao-hanh-24-thang,5,https://cdn.hstatic.net/products/1000389255/4_b6b803a599ba445084880ee36a76917e_1024x1024.jpg,Active
02090447-1,https://kachivietnam.com/products/noi-chien-khong-dau-6l-mishio-mk408-mau-xam-sang-trong-bao-hanh-24-thang,6,https://cdn.hstatic.net/products/1000389255/6_32fc978fb1594ed58b417e2e678b42c8_1024x1024.jpg,Active
02090447-1,https://kachivietnam.com/products/noi-chien-khong-dau-6l-mishio-mk408-mau-xam-sang-trong-bao-hanh-24-thang,7,https://cdn.hstatic.net/products/1000389255/7_f011fd75e6ab4782be98d2cde5474a14_1024x1024.jpg,Active
02090447-1,https://kachivietnam.com/products/noi-chien-khong-dau-6l-mishio-mk408-mau-xam-sang-trong-bao-hanh-24-thang,8,https://product.hstatic.net/1000389255/product/4_32172a684b954c90aa09730eb6522321_1024x1024.jpg,Active
02090447-1,https://kachivietnam.com/products/noi-chien-khong-dau-6l-mishio-mk408-mau-xam-sang-trong-bao-hanh-24-thang,9,https://product.hstatic.net/1000389255/product/5_cdef932401d54fe5a32d09b124eaceb5_1024x1024.jpg,Active
02090447-1,https://kachivietnam.com/products/noi-chien-khong-dau-6l-mishio-mk408-mau-xam-sang-trong-bao-hanh-24-thang,10,https://product.hstatic.net/1000389255/product/7_7820a1e809b24f248cfc17f195b0704a_1024x1024.jpg,Active
02090447-1,https://kachivietnam.com/products/noi-chien-khong-dau-6l-mishio-mk408-mau-xam-sang-trong-bao-hanh-24-thang,11,https://product.hstatic.net/1000389255/product/6_7119635110b84df0b8513a5e681db062_1024x1024.jpg,Active
02090447-1,https://kachivietnam.com/products/noi-chien-khong-dau-6l-mishio-mk408-mau-xam-sang-trong-bao-hanh-24-thang,12,https://product.hstatic.net/1000389255/product/8_ee56a7beaf044671957f81c9c5ae1e37_1024x1024.jpg,Active
02090447-1,https://kachivietnam.com/products/noi-chien-khong-dau-6l-mishio-mk408-mau-xam-sang-trong-bao-hanh-24-thang,13,https://product.hstatic.net/1000389255/product/9_8a68b53ac68a4a84b6bf881624e13c29_1024x1024.jpg,Active
02090447-1,https://kachivietnam.com/products/noi-chien-khong-dau-6l-mishio-mk408-mau-xam-sang-trong-bao-hanh-24-thang,14,https://product.hstatic.net/1000389255/product/2_4a14fca746ea46eaaf3e09935ade2c41_1024x1024.jpg,Active
02090447-1,https://kachivietnam.com/products/noi-chien-khong-dau-6l-mishio-mk408-mau-xam-sang-trong-bao-hanh-24-thang,15,https://product.hstatic.net/1000389255/product/14_aefb85b1e34442f1b9b3ee744e6e5289_1024x1024.jpg,Active
02090447-1,https://kachivietnam.com/products/noi-chien-khong-dau-6l-mishio-mk408-mau-xam-sang-trong-bao-hanh-24-thang,16,https://product.hstatic.net/1000389255/product/10_a34ad7bf34d8411bbc79a7bd9e9e3355_1024x1024.jpg,Active
02100055-1,https://kachivietnam.com/products/may-massage-co-vay-gay-kachi-mk395,1,https://cdn.hstatic.net/products/1000389255/1_87ea44ead29e47368cb671c39e302b7f_1024x1024.jpg,Active
02100055-1,https://kachivietnam.com/products/may-massage-co-vay-gay-kachi-mk395,2,https://cdn.hstatic.net/products/1000389255/2_dd67e76a3aa14b43befcebd41c53e7c7_1024x1024.jpg,Active
02100055-1,https://kachivietnam.com/products/may-massage-co-vay-gay-kachi-mk395,3,https://cdn.hstatic.net/products/1000389255/3_5ec01bc876904e508db11aa1ec98226a_1024x1024.jpg,Active
02100055-1,https://kachivietnam.com/products/may-massage-co-vay-gay-kachi-mk395,4,https://cdn.hstatic.net/products/1000389255/4_d43cfeefe26b448fbf36c5e3d1d2c383_1024x1024.jpg,Active
02100055-1,https://kachivietnam.com/products/may-massage-co-vay-gay-kachi-mk395,5,https://cdn.hstatic.net/products/1000389255/5_22194d7d4d2e498b9cfb291ffa2db262_1024x1024.jpg,Active
02100055-1,https://kachivietnam.com/products/may-massage-co-vay-gay-kachi-mk395,6,https://cdn.hstatic.net/products/1000389255/6_f7d3f138c7ef43e3bb27ef8f54c0736f_1024x1024.jpg,Active
02100055-1,https://kachivietnam.com/products/may-massage-co-vay-gay-kachi-mk395,7,https://cdn.hstatic.net/products/1000389255/7_9c3a308501894bfc83d7b505fbcf9e82_1024x1024.jpg,Active
02100055-1,https://kachivietnam.com/products/may-massage-co-vay-gay-kachi-mk395,8,https://cdn.hstatic.net/products/1000389255/8_07d58ca272e5414d842cebd56e9b02d0_1024x1024.jpg,Active
02100055-1,https://kachivietnam.com/products/may-massage-co-vay-gay-kachi-mk395,9,https://cdn.hstatic.net/products/1000389255/9_55d92ec4e1cc475fb2cf9a62a391c98a_1024x1024.jpg,Active
